snname,cubename,sem,rasn,decsn,sntype,notes
              SN2017hxv,               SN2017hxv, P103 ,21:44:23.011 ,-29:54:59.58  ,II      ,
            ASASSN-14dq,             ASASSN-14dq, P103 ,21:57:59.97  ,+24:16:08.1   ,II      ,
              SN2019tua,             ASASSN-14dq, P103 ,21:58:00.280 ,+24:15:57.10  ,II      ,
              SN2016cvk,               SN2016cvk, P103 ,22:19:49.390 ,-40:40:03.20  ,IIn-pec ,
            ASASSN-15tu,             ASASSN-15tu, P103 ,22:34:02.58  ,-32:23:53.58  ,IIb     ,
              SN2016hvu,               SN2016hvu, P103 ,22:35:55.560 ,+20:19:12.58  ,II      ,
               SN2006cx,               SN2016hvu, P103 ,22:35:56.45  ,+20:19:17.1   ,II      ,
                PS15cer,                 PS15cer, P103 ,22:41:14.79  ,-21:47:42.1   ,Ib      ,
                PS15cem,                 PS15cem, P103 ,22:45:13.22  ,-22:43:39.82  ,II      ,
               SN2015dj,                SN2015dj, P103 ,22:46:05.04  ,-10:59:48.4   ,Ib      ,
            SN2017bzb_2,             SN2017bzb_2, P103 ,22:57:17.320 ,-41:00:57.46  ,-       ,SN SPECTRUM HERE
               SN2015ah,                SN2015ah, P103 ,23:00:24.629 ,+01:37:36.80  ,Ib-pec  ,
               SN2015bf,                SN2015bf, P103 ,23:24:49.030 ,+15:16:52.00  ,IIn     ,
              SN2018cjk,                SN2015bf, P103 ,23:24:49.030 ,+15:16:52.00  ,-       ,
               SN2014ce,                SN2014ce, P103 ,23:27:40.860 ,+23:35:21.41  ,II      ,
              SN2017grn,               SN2017grn, P103 ,23:31:53.570 ,-05:00:43.56  ,II      ,
              SN2022mmr,               SN2017grn, P103 ,23:31:53.362 ,-05:00:43.85  ,II      ,
            ASASSN-14az,             ASASSN-14az, P103 ,23:44:48.0   ,-02:07:03.17  ,IIb     ,COMBINED 7 POINTINGS
            ASASSN-14ma,             ASASSN-14ma, P103 ,23:55:09.129 ,+10:12:54.21  ,II      ,
              AT2019ahk,               AT2019ahk, P103 ,07:00:11.546 ,-66:02:24.14  ,TDE     ,
            SDSSJ134244,             SDSSJ134244, P103 ,13:42:44.42  ,+05:30:56.14  ,TDE     ,
               PTF09axc,                PTF09axc, P103 ,14:53:13.08  ,+22:14:32.27  ,TDE     ,
              AT2018dyb,               AT2018dyb, P103 ,16:10:58.774 ,-60:55:23.16  ,TDE     ,
            ASASSN-15oi,             ASASSN-15oi, P103 ,20:39:09.18  ,-30:45:20.10  ,TDE     ,
              AT2018fyk,               AT2018fyk, P103 ,22:50:16.090 ,-44:51:53.50  ,TDE     ,MORE DATA IN THE ARXIV -> REDO
                 D23H-1,                  D23H-1, P103 ,23:31:59.54  ,+00:17:14.58  ,TDE     ,
         SDSS-IISN18737,                  D23H-1, P103 ,23:31:59.52  ,+00:17:14.81  ,II      ,
            ASASSN-15rp,             ASASSN-15rp, P104 ,00:03:37.25  ,-34:33:24.2   ,II      ,2 extra pointings with very bad seeing not used
              SN2016egz,               SN2016egz, P104 ,00:04:03.854 ,-34:48:51.87  ,II      ,
              SN2018gsr,               SN2018gsr, P104 ,00:08:30.390 ,-01:31:29.90  ,II      ,
               SN2002ig,                SN2002ig, P104 ,01:36:36.720 ,+00:55:25.61  ,II      ,
               SN2009nf,                PTF09gyp, P104 ,01:58:56.97  ,-07:16:58.3   ,IIb     ,
              SN2018jfz,               SN2018jfz, P104 ,03:20:18.736 ,-00:17:46.77  ,II      ,
               PTF09gpn,                PTF09gpn, P104 ,03:43:43.26  ,-17:08:43.1   ,II      ,COMBINED 8 POINTINGS; 4 form P112
               SN2009lq,                SN2009lq, P104 ,04:14:52.541 ,-62:50:14.78  ,II      ,
              SN2017imr,               SN2017imr, P104 ,04:21:04.790 ,-04:43:06.05  ,II      ,
                SN2003E,                 SN2003E, P104 ,04:39:10.879 ,-24:10:36.52  ,II      ,
              SN2018fqm,               SN2018fqm, P104 ,05:03:21.586 ,-28:43:53.74  ,II      ,
                PTF10dk,                 PTF10dk, P104 ,05:08:21.54  ,+00:12:42.9   ,II      ,
               SN1992ba,                SN1992ba, P104 ,05:41:47.160 ,-64:18:00.79  ,II      ,
              SN2017ipa,               SN2017ipa, P104 ,06:37:58.150 ,-15:22:00.59  ,II      ,
                SN2006Y,                 SN2006Y, P104 ,07:13:17.191 ,-51:41:18.82  ,II      ,
              SN2018iuq,               SN2018iuq, P104 ,07:05:53.430 ,+12:53:34.66  ,II      ,SN SPECTRUM HERE
            SN2016iyd_B,             SN2016iyd_B, P104 ,07:37:09.756 ,-52:19:04.19  ,II      ,2ND EPOCH. 1ST EPOCH IN P100
            SN2017hpi_B,             SN2017hpi_B, P104 ,08:15:43.390 ,-28:51:19.66  ,II      ,NOT COMBINED WITH P103 becasue P103 has the spectrum
              SN2017jne,               SN2017jne, P104 ,09:11:43.316 ,-00:15:31.92  ,II      ,
               SN2017vp,                SN2017vp, P104 ,09:02:35.120 ,+09:45:11.54  ,II      ,
              SN2017dht,               SN2017dht, P104 ,09:27:06.821 ,+12:42:03.52  ,II-pec  ,COMBINED 8 POINTINGS
              SN2018hfm,               SN2018hfm, P104 ,09:36:08.736 ,+06:15:27.08  ,II      ,
               SN2003bn,                SN2003bn, P104 ,10:02:35.510 ,-21:10:54.52  ,II      ,
                SN2010K,                PTF09iex, P104 ,12:02:46.870 ,+02:24:06.08  ,II      ,
               SN2015bm,                SN2015bm, P104 ,12:08:00.100 ,+19:44:26.70  ,II      ,
               PTF10bip,                PTF10bip, P104 ,12:34:10.52  ,+08:21:48.5   ,II      ,COMBINED 6 POINTINGS
               PTF10bfz,                PTF10bfz, P104 ,12:54:41.288 ,+15:24:17.08  ,II      ,
               SN2003cx,                SN2003cx, P104 ,13:57:06.461 ,-17:02:22.60  ,II      ,
            SN2018anu_A,             SN2018anu_A, P104 ,17:36:14.351 ,+18:58:56.59  ,-       ,SN SPECTRUM HERE
            SN2017ivv_B,             SN2017ivv_B, P104 ,20:28:49.780 ,-04:22:57.39  ,-       ,spectrum here. P103 1st epoch
               PTF09cvi,                PTF09cvi, P104 ,21:47:09.80  ,+08:18:35.6   ,II      ,
              SN2016hpt,               SN2016hpt, P104 ,21:54:36.581 ,-42:51:01.98  ,II      ,
               SN2014cw,                SN2014cw, P104 ,22:15:26.549 ,-10:28:34.61  ,II      ,
               PTF09dfk,                PTF09dfk, P104 ,23:09:13.42  ,+07:48:15.4   ,Ib      ,
              SN2018evk,               SN2018evk, P104 ,23:15:44.958 ,+06:54:39.70  ,II      ,
              SN2018fit,               SN2018fit, P104 ,23:25:16.178 ,+13:56:02.44  ,II      ,
               SN2007od,                SN2007od, P104 ,23:55:48.679 ,+18:24:54.79  ,II      ,
              analogue1,               analogue1, P104 ,nan          ,nan           ,-       ,
              analogue3,               analogue3, P104 ,nan          ,nan           ,-       ,
              analogue4,               analogue4, P104 ,nan          ,nan           ,-       ,
              analogue5,               analogue5, P104 ,nan          ,nan           ,-       ,
              analogue6,               analogue6, P104 ,nan          ,nan           ,-       ,
             analogue10,              analogue10, P104 ,nan          ,nan           ,-       ,
             analogue11,              analogue11, P104 ,nan          ,nan           ,-       ,
             analogue12,              analogue12, P104 ,nan          ,nan           ,-       ,COMBINED 5 POINTINGS
             analogue13,              analogue13, P104 ,nan          ,nan           ,-       ,
             analogue19,              analogue19, P104 ,nan          ,nan           ,-       ,
             analogue21,              analogue21, P104 ,nan          ,nan           ,-       ,
             analogue22,              analogue22, P104 ,nan          ,nan           ,-       ,COMBINED 8 POINTINGS
             analogue23,              analogue23, P104 ,nan          ,nan           ,-       ,
             analogue24,              analogue24, P104 ,nan          ,nan           ,-       ,
             analogue25,              analogue25, P104 ,nan          ,nan           ,-       ,
             analogue26,              analogue26, P104 ,nan          ,nan           ,-       ,
             analogue28,              analogue28, P104 ,nan          ,nan           ,-       ,
             analogue30,              analogue30, P104 ,nan          ,nan           ,-       ,COMBINED 23 CUBES IN HIDRA
             analogue31,              analogue31, P104 ,nan          ,nan           ,-       ,
             analogue33,              analogue33, P104 ,nan          ,nan           ,-       ,
             analogue36,              analogue36, P104 ,nan          ,nan           ,-       ,
             analogue45,              analogue45, P104 ,nan          ,nan           ,-       ,
             analogue48,              analogue48, P104 ,nan          ,nan           ,-       ,
               LSQ14fms,                LSQ14fms, P106 ,00:14:59.82  ,-51:12:39.54  ,Ia      ,
               CSP14acy,                CSP14acy, P106 ,00:42:28.75  ,-64:45:51.00  ,Ia-91T  ,
               CSP14acl,                CSP14acl, P106 ,01:01:07.04  ,-10:18:39.90  ,Ia-91T  ,COMBINED 4 POINTINGS
               SN2007if,                SN2007if, P106 ,01:10:51.37  ,+15:27:39.89  ,Ia-03fg ,
               SN2008fr,                SN2008fr, P106 ,01:11:49.14  ,+14:38:27.00  ,Ia      ,
               SN2013ct,                SN2013ct, P106 ,01:12:54.92  ,+00:58:45.70  ,Ia      ,
                SN2014Z,                 SN2014Z, P106 ,01:44:07.99  ,-61:07:07.40  ,Ia      ,
                SN2012U,                 SN2012U, P106 ,02:06:04.33  ,-55:11:37.50  ,Ia      ,
               SN2014du,                CSP14adc, P106 ,02:26:23.31  ,+27:39:34.80  ,Ia      ,
               SN2014eg,                SN2014eg, P106 ,02:45:09.27  ,-55:44:16.90  ,Ia-91T  ,
               SN2013fc,                SN2014eg, P106 ,02:45:08.959 ,-55:44:27.31  ,IIn     ,
               LSQ12gyc,                LSQ12gyc, P106 ,02:45:50.07  ,-17:55:45.74  ,Ia-91T  ,MUSE-DEEP
                SN2008R,                 SN2008R, P106 ,03:03:53.70  ,-11:59:39.40  ,Ia-91bg ,
               CSP13abm,                CSP13abm, P106 ,03:05:59.89  ,+04:32:38.20  ,Ia      ,
               LSQ12hjm,                LSQ12hjm, P106 ,03:10:28.72  ,-16:29:37.08  ,Ia      ,MUSE-DEEP
               LSQ14ghv,                LSQ14ghv, P106 ,03:23:44.15  ,-31:35:03.17  ,Ia      ,
               CSP13aay,                CSP13aay, P106 ,03:25:33.51  ,-53:44:19.00  ,Ia      ,
               LSQ14gfn,                LSQ14gfn, P106 ,03:28:32.16  ,-04:12:14.22  ,Ia      ,
               SN2007jg,                SN2007jg, P106 ,03:29:50.82  ,+00:03:24.60  ,Ia      ,
               SN2007jh,                SN2007jh, P106 ,03:36:01.54  ,+01:06:12.20  ,Ia-86G  ,
               SN2010kf,                SN2007jh, P106 ,03:36:03.530 ,+01:06:04.00  ,Ia      ,
               SN2013ad,                SN2013ad, P106 ,03:38:41.04  ,+10:18:27.22  ,Ia-91T  ,
               SN2013gy,                SN2013gy, P106 ,03:42:16.88  ,-04:43:18.48  ,Ia      ,
               SN2009ab,                SN2009ab, P106 ,04:16:36.39  ,+02:45:51.00  ,Ia      ,
                LSQ11bk,                 LSQ11bk, P106 ,04:20:44.25  ,-08:35:55.75  ,Ia      ,COMBINED 4 POINTINGS
                SN2009F,                 SN2009F, P106 ,04:59:23.56  ,-11:07:50.10  ,Ia-91bg ,
               SN2005el,                SN2005el, P106 ,05:11:48.72  ,+05:11:39.40  ,Ia      ,
               CSP13aam,                CSP13aam, P106 ,05:14:47.50  ,-66:50:29.10  ,Ia-91T  ,
            ASASSN-15da,             ASASSN-15da, P106 ,05:23:51.88  ,-24:42:08.38  ,Ia      ,
                SN2014I,                 SN2014I, P106 ,05:42:19.80  ,-25:32:39.90  ,Ia      ,
            ASASSN-15go,             ASASSN-15go, P106 ,06:11:30.50  ,-16:29:03.52  ,Ia      ,
                SN2015F,                 SN2015F, P106 ,07:36:15.76  ,-69:30:23.00  ,Ia      ,    
              iPTF13efe,               iPTF13efe, P106 ,08:43:39.30  ,+16:10:37.30  ,Ia      ,
                LSQ14mc,                 LSQ14mc, P106 ,09:02:13.45  ,+17:03:37.01  ,Ia      ,
               CSP13aaf,                CSP13aaf, P106 ,09:55:08.22  ,+06:48:31.40  ,Ia-91T  ,
               CSP14aal,                CSP14aal, P106 ,09:57:39.11  ,+12:33:17.70  ,Ia      ,
                 CSP13V,                  CSP13V, P106 ,10:13:10.00  ,-16:31:54.00  ,Ia      ,
               SN2008bt,                SN2008bt, P106 ,10:50:16.88  ,-12:06:32.00  ,Ia-91bg ,
                PS15afa,                SN2008bt, P106 ,10:50:18.15  ,-12:06:28.14  ,II      ,
               SN2009al,                SN2009al, P106 ,10:51:22.07  ,+08:34:42.70  ,Ia      ,
                 CSP13Z,                  CSP13Z, P106 ,10:52:06.06  ,-13:34:24.70  ,Ia-91T  ,COMBINED 4 POINTINGS
                KISS13l,                 KISS13l, P106 ,11:14:54.07  ,+29:35:06.00  ,Ia      ,
               CSP13abs,                CSP13abs, P106 ,12:03:06.88  ,-01:01:31.70  ,Ia-03fg ,
               SN2008bf,                SN2008bf, P106 ,12:04:02.90  ,+20:14:42.60  ,Ia      ,
                KISS15m,                 KISS15m, P106 ,12:06:00.83  ,+20:36:18.40  ,Ia-91bg ,
                KISS13j,                 KISS13j, P106 ,12:09:39.70  ,+16:12:14.30  ,Ia      ,
                KISS15n,                 KISS15n, P106 ,13:00:32.33  ,+27:58:41.00  ,Ia-03fg ,
              iPTF13anh,               iPTF13anh, P106 ,13:06:50.45  ,+15:34:32.36  ,Ia      ,
                KISS13v,                 KISS13v, P106 ,13:52:56.63  ,+21:56:21.70  ,Ia      ,MUSE-DEEP
               SN2015bo,                CSP15aae, P106 ,14:09:55.13  ,+17:31:55.60  ,Ia-91bg ,
               SN1997cn,                CSP15aae, P106 ,14:09:57.761 ,+17:32:32.32  ,Ia-91bg ,
               SN2012aq,                SN2012aq, P106 ,14:54:05.13  ,+22:05:40.60  ,Ia-91T  ,MUSE-DEEP
             SN2005cf_B,              SN2005cf_B, P106 ,15:21:32.210 ,-07:24:47.48  ,Ia      ,P99 out of FOV. Here in the FOV. SN1990Q from Hanin is the other galaxy!
              iPTF13dwl,               iPTF13dwl, P106 ,21:16:49.05  ,+12:00:50.80  ,Ia      ,
            ASASSN-14lq,             ASASSN-14lq, P106 ,22:57:19.41  ,-20:58:00.80  ,Ia      ,
               SN2014ds,                SN2014ds, P111 ,08:11:16.45  ,+25:10:47.39  ,IIb     ,4 pointings covering a nearby galaxy not used
               SN2014dp,                SN2014dp, P111 ,08:19:37.00  ,-22:34:14.7   ,Ib      ,
              SN2018hyw,               SN2018hyw, P111 ,08:20:17.33  ,+20:52:32.16  ,II      ,
                SN1960D,               SN2018hyw, P111 ,08:20:17.820 ,+20:52:04.40  ,?       ,
               SN2014cq,                SN2014cq, P111 ,09:23:29.55  ,-63:40:28.30  ,IIb     ,
            ASASSN-18ke,             ASASSN-18ke, P111 ,10:10:28.160 ,+02:13:48.76  ,IIb     ,
              SN2021bwv,             ASASSN-18ke, P111 ,10:10:27.444 ,+02:13:41.46  ,II      ,
              SN2019bao,               SN2019bao, P111 ,10:29:18.52  ,+06:07:22.15  ,IIb     ,
            ASASSN-18ga,             ASASSN-18ga, P111 ,10:29:51.628 ,+09:00:46.83  ,Ic      ,
              AT2017cpj,              ATLAS17cpj, P111 ,10:38:12.91  ,+28:07:02.18  ,II      ,
   PSNJ11220840-3804001,    PSNJ11220840-3804001, P111 ,11:22:08.00  ,-38:04:00.09  ,IIb     ,
            ASASSN-18ex,             ASASSN-18ex, P111 ,11:51:59.839 ,+09:42:11.21  ,Ic      ,
             SN2020admc,              SN2020admc, P111 ,11:54:06.07  ,-39:51:52.63  ,Ib      ,COMBINED
               SN2014ge,       MASTEROTJ12045150, P111 ,12:04:51.49  ,+26:59:46.60  ,Ib      ,
            ASASSN-18dr,             ASASSN-18dr, P111 ,12:25:58.541 ,+04:28:26.30  ,Ic-BL   ,
              SN2020fqv,               SN2020fqv, P111 ,12:36:33.26  ,+11:13:54.03  ,II      ,COMBINED - 21 cubes available - TO BE REPEATED -- TO DO --
                SN1990B,               SN2020fqv, P111 ,12:36:33.869 ,+11:14:30.08  ,Ib      ,
               SN2004cc,               SN2020fqv, P111 ,12:36:34.399 ,+11:14:32.78  ,Ic      ,
              SN2017dcc,               SN2017dcc, P111 ,12:49:04.89  ,-12:12:22.24  ,Ic-pec  ,
              SN2021hiv,               SN2017dcc, P111 ,12:49:05.843 ,-12:12:27.61  ,II      ,
            ASASSN-18ph,             ASASSN-18ph, P111 ,12:55:10.144 ,-05:34:07.80  ,Ic      ,
              SN2018adg,               AT2018adg, P111 ,13:25:31.23  ,-14:21:05.23  ,Ic      ,
             SN2022adpt,               AT2018adg, P111 ,13:25:31.200 ,-14:21:32.29  ,Ia      ,
              SN2018cbz,               SN2018cbz, P111 ,13:41:18.60  ,-04:20:46.56  ,Ic      ,
              SN2019vsi,               SN2019vsi, P111 ,13:45:54.97  ,+23:03:42.83  ,Ib      ,
            ASASSN-18hq,             ASASSN-18hq, P111 ,14:06:34.807 ,-32:34:44.06  ,IIb     ,COMBINED 5 POINTINGS
      MASTEROTJ14102342,       MASTEROTJ14102342, P111 ,14:10:23.41  ,-43:18:43.70  ,Ib      ,COMBINED
            ASASSN-18ky,             ASASSN-18ky, P111 ,14:14:18.420 ,+10:40:41.56  ,Ib      ,SN2018bvi P113 is much worst seeing 2arcsec
              SN2018dbg,               SN2018dbg, P111 ,14:17:58.00  ,+26:24:44.65  ,Ibc     ,
              SN2019hyk,               SN2018dbg, P111 ,14:17:57.850 ,+26:25:17.69  ,II      ,
             SN2025afdy,               SN2018dbg, P111 ,14:17:59.411 ,+26:24:52.46  ,Ia      ,
            ASASSN-15uy,             ASASSN-15uy, P111 ,14:32:15.31  ,+26:19:32.02  ,IIb     ,
              SN2016jag,               SN2016jag, P111 ,15:23:19.82  ,-04:09:20.06  ,Ib      ,
              SN2019pqo,               SN2019pqo, P111 ,15:41:30.33  ,+15:47:03.34  ,IIb     ,
               SN2004ci,               SN2019pqo, P111 ,15:41:29.830 ,+15:47:13.09  ,II      ,
               SN2019yz,                SN2019yz, P111 ,15:41:57.30  ,+00:42:39.44  ,Ic      ,COMBINED
              SN2019ltw,             ASASSN-19sj, P111 ,16:18:38.495 ,+21:58:23.25  ,II      ,ALSO OBSERVED BYT THE OTHER P111 PROGRAMME - MUCH BETTER HERE
              SN2016ajo,               SN2016ajo, P111 ,18:44:12.49  ,+24:09:29.6   ,Ib      ,3 extra pointings not used for bad seeing 
              SN2017fek,              ATLAS17iif, P111 ,20:21:47.444 ,-10:43:53.27  ,IIb     ,
   PSNJ20580766-5147074,    PSNJ20580766-5147074, P111 ,20:58:07.70  ,-51:47:07.96  ,Ib      ,
               SN2014bt,                SN2014bt, P111 ,21:43:11.12  ,-38:58:05.80  ,Ibc     ,
            ASASSN-16fp,             ASASSN-16fp, P111 ,21:59:04.14  ,+18:11:10.50  ,Ic-BL   ,
              SN2016iyc,               SN2016iyc, P111 ,22:09:14.28  ,+21:31:17.40  ,IIb     ,COMBINED 10 POINTINGS
              SN2018eoe,               SN2018eoe, P111 ,22:24:24.37  ,+18:04:18.84  ,Ib      ,
               SN2014br,                SN2014br, P111 ,22:59:50.68  ,-61:33:22.20  ,Ibc     ,
                SN2015K,                 SN2015K, P111 ,23:35:52.25  ,+23:36:51.95  ,Ic      ,COMBINED 7 POINTINGS
              SN2018cew,               SN2018cew, P111 ,23:52:24.19  ,+28:46:30.22  ,Ib      ,
              SN2019iep,               SN2019iep, P111 ,00:06:18.64  ,+25:27:45.60  ,Ibn     ,
       OGLE-2014-SN-131,        OGLE-2014-SN-131, P111 ,01:14:00.81  ,-77:06:16.49  ,Ibn     ,
              SN2018fmt,               SN2018fmt, P111 ,01:21:00.88  ,-13:51:46.42  ,Ibn     ,
              SN2018gjx,               SN2018gjx, P111 ,02:16:15.57  ,+28:35:28.70  ,IIb     ,COMBINED
               SN2000er,                SN2000er, P111 ,02:24:32.53  ,-58:26:17.99  ,Ibn     ,COMBINED
                PS15dpn,                 PS15dpn, P111 ,02:32:59.77  ,+18:38:07.10  ,II      ,
       OGLE-2012-SN-006,        OGLE-2012-SN-006, P111 ,03:33:34.78  ,-74:23:40.09  ,Ib-pec  ,
              SN2022eux,               SN2022eux, P111 ,05:55:31.21  ,-15:40:34.10  ,Ibn     ,
              SN2024fgj,               SN2022eux, P111 ,05:55:32.261 ,-15:40:38.02  ,II      ,
              SN2022gzg,               SN2022gzg, P111 ,12:43:37.52  ,+01:23:03.82  ,Ibn     ,
              SN2017jfv,               SN2017jfv, P111 ,13:38:25.34  ,-31:15:52.57  ,Ibn     ,
             SN2020adlh,               SN2017jfv, P111 ,13:38:26.170 ,-31:15:52.09  ,Ia      ,
              SN2019deh,               SN2019deh, P111 ,14:05:43.57  ,+09:30:56.88  ,Ibn     ,
               SN2002ao,                SN2002ao, P111 ,14:29:35.741 ,-00:00:55.80  ,Ibn     ,
              SN2022pff,               SN2022pff, P111 ,15:11:58.01  ,+32:50:29.68  ,Ibn     ,
              iPTF13beo,               iPTF13beo, P111 ,16:12:26.63  ,+14:19:18.0   ,Ibn     ,
              SN2016edk,               SN2016edk, P111 ,17:47:14.20  ,+30:13:29.31  ,Ibn     ,
              SN2021zfx,               SN2021zfx, P111 ,21:09:23.75  ,+09:45:38.84  ,Ibn     ,
              SN2019rii,               SN2019rii, P111 ,21:22:41.87  ,+22:52:54.84  ,Ibn     ,
               LSQ13ccw,                LSQ13ccw, P111 ,21:35:51.64  ,-18:32:51.89  ,Ibc     ,
              SN2019kbj,               SN2019kbj, P111 ,22:11:21.92  ,+19:37:03.45  ,II      ,
              SN2020taz,               SN2020taz, P111 ,22:26:06.27  ,+10:33:29.63  ,Ibn     ,
               SN2011hw,                SN2011hw, P111 ,22:26:14.53  ,+34:12:59.10  ,IIn     ,
               PTF11rfh,                PTF11rfh, P111 ,22:35:49.58  ,-00:22:26.1   ,Ibn     ,
              SN2020nxt,               SN2020nxt, P111 ,22:37:36.235 ,+35:00:07.68  ,Ibn     ,            
             DES16C3cje,              DES16C3cje, P112 ,03:28:35.29  ,-27:09:06.60  ,II-87A? ,
     OGLE-2003-NOOS-005,      OGLE-2003-NOOS-005, P112 ,05:55:38.07  ,-68:55:47.10  ,II-87A? ,
               SN2009mw,                SN2009mw, P112 ,09:47:14.959 ,-24:51:18.79  ,II-87A? ,
                SN2008H,                SN2009mw, P112 ,09:47:13.450 ,-24:50:25.80  ,II      ,
               SN2012gg,                SN2012gg, P112 ,04:36:11.050 ,-05:04:53.11  ,II-87A? ,
              SN2018imj,               SN2018imj, P112 ,06:51:05.757 ,+12:54:55.86  ,II-87A? ,combined 3 pointings. the 4th had a huge satelite trace.
                SN2000H,               SN2018imj, P112 ,06:51:07.670 ,+12:55:18.52  ,IIb     ,
              SN2022ymc,               SN2022ymc, P112 ,03:13:40.618 ,-01:16:32.17  ,II-87An?,
              SN2021wun,               SN2021wun, P112 ,15:46:31.990 ,+25:25:44.69  ,II-87A? ,
            SN2018anu_B,             SN2018anu_B, P112 ,17:36:14.351 ,+18:58:56.59  ,II      ,2nd epoch. spectrum in P104
             SN2021adyl,              SN2021adyl, P112 ,09:28:04.091 ,+29:59:27.21  ,II-87A  , 
               SN2006au,                SN2006au, P112 ,17:57:13.560 ,+12:11:03.19  ,II-87A  ,
              SN2020scb,               SN2020scb, P113 ,00:18:25.624 ,+18:30:59.53  ,Ic      ,
              SN2022jli,               SN2022jli, P113 ,00:34:45.690 ,-08:23:12.16  ,Ic      ,JOINED WITH SN2009em P114
               SN2009em,               SN2022jli, P113 ,00:34:44.530 ,-08:23:57.59  ,Ic      ,
               SN2019yc,                SN2019yc, P113 ,00:39:34.996 ,+00:52:04.13  ,IIb     ,
              SN2020aqb,               SN2020aqb, P113 ,00:41:37.640 ,-03:15:12.53  ,IIP     ,
              SN2019jyw,               SN2019jyw, P113 ,01:06:30.222 ,-02:11:55.63  ,II      ,
             SN2020abjq,              SN2020abjq, P113 ,01:06:14.630 ,+03:34:26.08  ,II      ,
              SN2019nyn,               SN2019nyn, P113 ,01:07:37.215 ,-41:51:12.33  ,II      ,
              SN2019ofc,               SN2019ofc, P113 ,01:33:36.930 ,-38:35:59.10  ,II      ,
              SN2020qbu,               SN2020qbu, P113 ,01:33:53.400 ,-13:04:49.30  ,Ic      ,
              SN2020nja,               SN2020nja, P113 ,01:34:34.680 ,-03:20:37.75  ,II      ,
              SN2025myc,               SN2020nja, P113 ,01:34:34.441 ,-03:20:50.37  ,Ibc     ,
              SN2018cmj,               SN2018cmj, P113 ,01:38:53.315 ,-42:35:22.28  ,II      ,
               SN2011gm,               SN2018cmj, P113 ,01:38:54.590 ,-42:35:08.81  ,Ia      ,
              SN2020njz,               SN2020njz, P113 ,02:01:51.014 ,-10:28:11.85  ,Ic      ,JOINED WITH P115 SN2021bjk - 8 POINTINGS
              SN2021bjk,               SN2020njz, P113 ,02:01:52.233 ,-10:27:49.04  ,Ibc     ,
               SN2019rn,                SN2019rn, P113 ,02:17:59.609 ,+14:32:00.42  ,IIb     ,
              SN2020obd,               SN2020obd, P113 ,02:28:35.914 ,-10:32:18.77  ,II      ,
               SN1998dt,               SN2020obd, P113 ,02:28:35.719 ,-10:32:59.78  ,Ib      ,
              SN2019xtw,               SN2019xtw, P113 ,02:43:33.630 ,-38:37:30.76  ,II      ,
              SN2018hhr,               SN2018hhr, P113 ,02:55:48.940 ,+01:04:42.53  ,II      ,
              SN2018hjx,               SN2018hjx, P113 ,03:24:55.572 ,-02:49:19.99  ,Ib      ,
              SN2018fcx,               SN2018fcx, P113 ,04:05:56.720 ,-15:08:43.62  ,IIb     ,
              SN2020cnu,               SN2020cnu, P113 ,04:24:08.164 ,-27:04:47.46  ,II      ,
              SN2020ocz,               SN2020ocz, P113 ,05:10:44.200 ,-31:35:37.61  ,II      ,
             SN2020aboq,              SN2020aboq, P113 ,06:38:23.730 ,-35:13:29.14  ,Ic-BL   ,
              SN2017hyh,               SN2017hyh, P113 ,07:10:41.080 ,+06:27:41.29  ,IIb     ,           
               SN2018fy,                SN2018fy, P113 ,09:53:20.038 ,-18:25:09.30  ,II      ,
              SN2019bkc,               SN2019bkc, P113 ,10:00:22.544 ,-03:01:12.64  ,I       ,
              SN2019uhm,               SN2019uhm, P113 ,10:28:48.470 ,-31:29:52.08  ,II      ,
              SN2020pub,               SN2020pub, P113 ,10:37:35.560 ,-22:42:19.04  ,II      ,    
              SN2019tsf,               SN2019tsf, P113 ,11:08:32.800 ,-10:28:54.44  ,Ib      ,
              SN2019thi,               SN2019thi, P113 ,11:15:15.320 ,-27:39:11.88  ,II      ,
             SN2020acpi,              SN2020acpi, P113 ,11:35:46.559 ,-49:02:12.43  ,II      ,
              SN2024dhj,              SN2020acpi, P113 ,11:35:47.470 ,-49:01:48.97  ,II      ,
              SN2019aax,               SN2019aax, P113 ,12:17:05.631 ,-26:37:44.95  ,II      ,
              SN2020bfb,               SN2020bfb, P113 ,12:54:44.230 ,-39:51:09.50  ,Ic      ,
               SN2018jq,                SN2018jq, P113 ,12:56:48.380 ,+03:53:27.24  ,Ib      ,COMBINED 3 POINTINGS
               SN2018ke,                SN2018ke, P113 ,13:08:39.531 ,-41:27:16.04  ,II      ,
               SN2018is,                SN2018is, P113 ,13:16:57.350 ,-16:37:04.43  ,II      ,
              SN2020hop,               SN2020hop, P113 ,13:19:28.180 ,-13:43:25.47  ,Ic      ,
              SN2017izl,               SN2017izl, P113 ,13:19:55.340 ,-47:17:04.78  ,II      ,
              SN2021bmw,               SN2021bmw, P113 ,13:47:39.708 ,-29:25:54.64  ,II      ,only 3 pointings 4th is tilted
              SN2020mvk,               SN2020mvk, P113 ,13:35:45.680 ,-30:52:30.36  ,II      ,
               SN2020ad,                SN2020ad, P113 ,13:57:56.810 ,-29:17:07.40  ,II      ,COMBINED 12 POINTINGS
              SN2018ecf,               SN2018ecf, P113 ,14:06:34.380 ,-34:18:04.14  ,II      ,
